
English,Chinese Meanings,pos,word_with_pos,check_status,suggested_zh,notes
pursuit,追求；追求；尋求,n.,pursuit (n.),OK,,
put on,增加；穿上,phr.,put on (phr.),OK,,
put sth. into motion,發動～,phr.,put sth. into motion (phr.),OK,,
put together,拼湊；組合,phr.,put together (phr.),OK,,
qualification,合格證明,n.,qualification (n.),OK,,
qualify,使具有資格；使合格,v.,qualify (v.),OK,,
quality,品質；特性優良的；質量,adj.,quality (adj.),OK,,
quantity,數量；分量,n.,quantity (n.),OK,,
quarrel,爭吵；不和爭吵；不和,n.,quarrel (n.),OK,,
quarter,四分之一；季度,n.,quarter (n.),OK,,
quarterly,季度的一離訊問；審問,adv.,quarterly (adv.),OK,,
question,問題；詢問；疑問,n.,question (n.),OK,,
questionable,可疑的；,adj.,questionable (adj.),OK,,
queue,行列；長隊排隊,n.,queue (n.),OK,,
quick,快速的；迅速的；短暫的；快速的,adj.,quick (adj.),OK,,
quickly,快速地,adv.,quickly (adv.),OK,,
quiet,寧靜的；安定的安靜；靜謐平靜下來；寧靜的；清淡的,adj.,quiet (adj.),OK,,
quit,解除；退出,v.,quit (v.),OK,,
quite,完全；徹底；相當,n.,quite (n.),OK,,
quotation,引用；引證,n.,quotation (n.),OK,,
quote,引用；引述；引述,n.,quote (n.),OK,,
race,賽跑；比比速薪；提高,n.,race (n.),OK,,
racial,人種的；種族的,adj.,racial (adj.),OK,,
radical,根本的；基本的根部；基礎,adj.,radical (adj.),OK,,
radio,無線電；收音機季一次地,adv.,radio (adv.),OK,,
radioactive,放射性的,adj.,radioactive (adj.),OK,,
radius,半徑；半徑距,n.,radius (n.),OK,,
railroad,鐵路,n.,railroad (n.),OK,,
raise,提高；舉起；抬起加,v.,raise (v.),OK,,
raisin,葡萄乾,n.,raisin (n.),OK,,
random,胡亂的；隨便的,adj.,random (adj.),OK,,
randomly,任意地；隨便地,adv.,randomly (adv.),OK,,
range,排，行；一系列；範圍,n.,range (n.),OK,,
rank,等級；地位,n.,rank (n.),OK,,
rapid,快的；迅速的,adj.,rapid (adj.),OK,,
rapidly,很快地；立即；迅速地,adv.,rapidly (adv.),OK,,
rare,稀有的；罕見的,adj.,rare (adj.),OK,,
rarely,很少；難得,adv.,rarely (adv.),OK,,
rate,比例；率,v.,rate (v.),OK,,
rather,相當；頗引號；引語；頗為,n.,rather (n.),OK,,
rational,理性的；有理,adj.,rational (adj.),OK,,
razor,剃刀,n.,razor (n.),OK,,
re,引擎的逆火事與願違,n.,re (n.),OK,,
re drill,火災避難訓焦練；消防演習,phr.,re drill (phr.),OK,,
reac,抵達；達到可,n.,reac (n.),OK,,
reach,到達,n.,reach (n.),OK,,
read,閱覽；讀取；閱讀；攻讀讀物的,adj.,read (adj.),OK,,
reader,讀者,n.,reader (n.),OK,,
readership,讀者們,n.,readership (n.),OK,,
readiness,準備就緒,n.,readiness (n.),OK,,
ready,準備好的；願意；預備；準備萬全,adj.,ready (adj.),OK,,
realization,領悟；認,n.,realization (n.),OK,,
realize,領悟；了解；領悟；實現,v.,realize (v.),OK,,
reason,原因；理由再裝填彈藥於,n.,reason (n.),OK,,
reasonable,合理的；接受的；受領的,adj.,reasonable (adj.),OK,,
reasonalbe,合理,n.,reasonalbe (n.),OK,,
rebel,反抗者反叛的,adj.,rebel (adj.),OK,,
rebellion,反叛；造反；薦叛亂,n.,rebellion (n.),OK,,
rebound,彈回；跳回,n.,rebound (n.),OK,,
rebuild,重建；改建,n.,rebuild (n.),OK,,
recall,回想；回憶,n.,recall (n.),OK,,
receipt,收據；收據；收入,n.,receipt (n.),OK,,
receive,接獲；收到；接到,adj.,receive (adj.),OK,,
recent,新近的；最近；最近,adj.,recent (adj.),OK,,
recently,最近,adv.,recently (adv.),OK,,
reception,接待；接待；歡迎,n.,reception (n.),OK,,
receptionist,接待員,n.,receptionist (n.),OK,,
recharge,再充電於；性的,adj.,recharge (adj.),OK,,
recipient,接受者；受領者的,adj.,recipient (adj.),OK,,
reclaim,使改過；使悔改識,n.,reclaim (n.),OK,,
recognition,承認；認出；識別,n.,recognition (n.),OK,,
recognizable,可辨認的,adj.,recognizable (adj.),OK,,
recognize,認出；識別正當的；辨識出,adj.,recognize (adj.),OK,,
recommend,推薦,n.,recommend (n.),OK,,
recommendation,推,n.,recommendation (n.),OK,,
reconsider,重新考慮,n.,reconsider (n.),OK,,
record,記載；記錄,n.,record (n.),OK,,
recover,復原；恢復；恢復,n.,recover (n.),OK,,
recovery,復原恢復,n.,recovery (n.),OK,,
recruit,徵募；僱用,n.,recruit (n.),OK,,
recruitment,徵募；僱用,n.,recruitment (n.),OK,,
rectangle,矩形；長方,n.,rectangle (n.),OK,,
rectify,矯正；改正,v.,rectify (v.),OK,,
red carpet,隆重,phr.,red carpet (phr.),OK,,
reduce,減少；縮小；減少；降低,n.,reduce (n.),OK,,
refer,提到;談論,n.,refer (n.),OK,,
reference,參考；提及；參考,n.,reference (n.),OK,,
referral,推薦,adj.,referral (adj.),OK,,
refund,退還；償還,n.,refund (n.),OK,,
refurbish,再磨光；刷,adj.,refurbish (adj.),OK,,
refusal,拒絕,adj.,refusal (adj.),OK,,
refuse,拒絕,n.,refuse (n.),OK,,
regard,注重；問候就……而論,n.,regard (n.),OK,,
regarding,關於；關於；,v.,regarding (v.),OK,,
regardless,不顧一切地的不注意的；不留心,adj.,regardless (adj.),OK,,
region,區域；地區；地帶,n.,region (n.),OK,,
registering,登記的；,adj.,registering (adj.),OK,,
regret,懊悔；惋惜,n.,regret (n.),OK,,
regular,規則的；有規,adj.,regular (adj.),OK,,
regularly,定期地；有規律地,adv.,regularly (adv.),OK,,
regulate,管理；控制；校準,v.,regulate (v.),OK,,
regulation,規則；規章；規則文獻,n.,regulation (n.),OK,,
rehearsal,排練；試演reﬂ,adj.,rehearsal (adj.),Possible error,排練；試演ﬂ,English letters present in Chinese meaning
rehearse,排練；排演,n.,rehearse (n.),OK,,
reimburse,償還；歸還,n.,reimburse (n.),OK,,
reimbursement,償還；,n.,reimbursement (n.),OK,,
reinforce,增援；加強,n.,reinforce (n.),OK,,
reinforcement,增援；,n.,reinforcement (n.),OK,,
reiterate,重做；重申把…認為,v.,reiterate (v.),OK,,
reject,拒絕,n.,reject (n.),OK,,
rejection,拒絕；反對,n.,rejection (n.),OK,,
relate,使有聯繫；有關；,v.,relate (v.),OK,,
relate to,涉及到,phr.,relate to (phr.),OK,,
relation,關係；關係；關聯,n.,relation (n.),OK,,
relationship,人際關；關聯;關係,n.,relationship (n.),OK,,
release,發布；釋放；發行釋放；解放,n.,release (n.),OK,,
relevant,有關的；切題的,adj.,relevant (adj.),OK,,
reliable,可信賴的；可；可靠的,adj.,reliable (adj.),OK,,
relief,緩和；減輕,n.,relief (n.),OK,,
relieved,安心,v.,relieved (v.),OK,,
relocate,重新安置,v.,relocate (v.),OK,,
rely,依靠；倚靠；依靠,adv.,rely (adv.),OK,,
remain,剩下；餘留；留下,n.,remain (n.),OK,,
remake,再製；改造,n.,remake (n.),OK,,
remark,談到；評論,n.,remark (n.),OK,,
remarkable,卓越；非凡的；,adj.,remarkable (adj.),OK,,
remember,牢記；回憶起；記得；記,n.,remember (n.),OK,,
remind,提醒,n.,remind (n.),OK,,
reminder,提醒；聯想,n.,reminder (n.),OK,,
remote,遙遠的；偏僻的；遠程,adj.,remote (adj.),OK,,
remotely,遙遠地；間接地,adv.,remotely (adv.),OK,,
removal,移動；調動；出租,adj.,removal (adj.),OK,,
remove,移動；調動,n.,remove (n.),OK,,
render,使得；提出,n.,render (n.),OK,,
renew,使更新；使復原,n.,renew (n.),OK,,
renewal,更新；復原發報告；報導,adj.,renewal (adj.),OK,,
renovation,更新；修理,n.,renovation (n.),OK,,
renowned,有名的；有聲譽的,adj.,renowned (adj.),OK,,
rent,租金；租費出租,n.,rent (n.),OK,,
rental,租賃的租金；；租金；租借,adj.,rental (adj.),OK,,
rented,出租,v.,rented (v.),OK,,
repair,修理；修補修理；修補,n.,repair (n.),OK,,
repeat,重複；重做重複；複寫更換,n.,repeat (n.),OK,,
repetition,反覆背誦,n.,repetition (n.),OK,,
repetitive,重複的,adj.,repetitive (adj.),OK,,
replace,放置；替代；更換,n.,replace (n.),OK,,
replacement,取代；言辭；談論,n.,replacement (n.),OK,,
replay,重演；重播重演；重播免職,n.,replay (n.),OK,,
reply,回答；答覆,adv.,reply (adv.),OK,,
report,報告；報導；記述；告,n.,report (n.),OK,,
reporter,記者,n.,reporter (n.),OK,,
represent,代表；描繪；代表,v.,represent (v.),OK,,
representation,表示,n.,representation (n.),OK,,
representative,代表性的代表典型；代表物；；典型的；代表,adj.,representative (adj.),OK,,
reputation,名譽；名聲；聲譽,n.,reputation (n.),OK,,
request,要求；請求,n.,request (n.),OK,,
require,必須；需要；要求,n.,require (n.),OK,,
requirement,必需品；條件；需要；必需品,n.,requirement (n.),OK,,
reschedule,改期；重新編排,n.,reschedule (n.),OK,,
research,研究；研究；探索；研究；調查研究,n.,research (n.),OK,,
researcher,研究員,n.,researcher (n.),OK,,
resemblance,相似；,n.,resemblance (n.),OK,,
resemble,像；類似,n.,resemble (n.),OK,,
reservation,預定；保；預約；預訂,n.,reservation (n.),OK,,
reserve,儲備；保存,n.,reserve (n.),OK,,
residence,住所；住宅,n.,residence (n.),OK,,
resident,居民；居民居住留的；定居的,adj.,resident (adj.),OK,,
residential,居住的；住宅的,adj.,residential (adj.),OK,,
residual,殘留的；剩餘的,adj.,residual (adj.),OK,,
residue,殘餘；剩餘,n.,residue (n.),OK,,
resign,放棄；辭去；辭職,n.,resign (n.),OK,,
resignation,辭職；放棄要求；請求,n.,resignation (n.),OK,,
resist,抵抗；反抗,n.,resist (n.),OK,,
resistance,抵抗；反,n.,resistance (n.),OK,,
resolute,堅決的；堅定的,adj.,resolute (adj.),OK,,
resolve,解決；解決；決心決心；決意,n.,resolve (n.),OK,,
resource,資源；資源；物力,n.,resource (n.),OK,,
respect,敬重；敬重，尊敬相貌相似,n.,respect (n.),OK,,
respectable,可敬,adj.,respectable (adj.),OK,,
respond,反應；回應；回答；答覆,n.,respond (n.),OK,,
response,回答；答覆；響應,n.,response (n.),OK,,
responsibility,負責,n.,responsibility (n.),OK,,
responsible,需負責任,adj.,responsible (adj.),OK,,
responsive,回答的；,adj.,responsive (adj.),OK,,
restaurant,餐廳,n.,restaurant (n.),OK,,
restriction,限制；約束,n.,restriction (n.),OK,,
result,結果,n.,result (n.),OK,,
resume,恢復；重返梗概；履歷,n.,resume (n.),OK,,
retai,保留；保持,n.,retai (n.),OK,,
retail,零售；零售零售零售的,adj.,retail (adj.),OK,,
retailer,零售商；零售店,n.,retailer (n.),OK,,
retainable,能保持的；,adj.,retainable (adj.),OK,,
retainer,保留者；家臣,n.,retainer (n.),OK,,
retire,使退卻；使退休,n.,retire (n.),OK,,
retirement,退休；退職,n.,retirement (n.),OK,,
retrieve,重新得到；收,n.,retrieve (n.),OK,,
return,返回；返回；歸,n.,return (n.),OK,,
reveal,展現，顯露出,adj.,reveal (adj.),OK,,
revenue,收入；稅收,n.,revenue (n.),OK,,
reverse,相反的；反向,adj.,reverse (adj.),OK,,
review,批評，評論；；複習；評論,n.,review (n.),OK,,
revise,修訂；校訂,v.,revise (v.),OK,,
revision,修訂；校訂,n.,revision (n.),OK,,
revive,甦醒；復甦,adj.,revive (adj.),OK,,
revolve,旋轉；自轉,n.,revolve (n.),OK,,
reward,報答；報償；報答；酬謝,n.,reward (n.),OK,,
ride,騎乘,v.,ride (v.),OK,,
right,正確的；右側的,adj.,right (adj.),OK,,
rigorous,嚴格的；嚴,adj.,rigorous (adj.),OK,,
rise,上升；升起上,v.,rise (v.),OK,,
rising,升起,v.,rising (v.),OK,,
risky,冒險的,adj.,risky (adj.),OK,,
rival,競爭者；對手,adj.,rival (adj.),OK,,
rivalry,競爭；對抗,n.,rivalry (n.),OK,,
rm,申明；堅稱；證實；穩固的；牢固的；證實；確定coﬁ,adj.,rm (adj.),Possible error,申明；堅稱；證實；穩固的；牢固的；證實；確定ﬁ,English letters present in Chinese meaning
rmation,確定；確證,n.,rmation (n.),OK,,
rmative,肯定的；表示贊成的,adj.,rmative (adj.),OK,,
roasted,烘培,v.,roasted (v.),OK,,
robust,強健的；茁壯,adj.,robust (adj.),OK,,
role,角色,n.,role (n.),OK,,
roll,滾動,n.,roll (n.),OK,,
romantic,浪漫,adj.,romantic (adj.),OK,,
roughly,大致,adv.,roughly (adv.),OK,,
route,路線；路程,n.,route (n.),OK,,
routine,例行公事例行的；常規,adj.,routine (adj.),OK,,
royal,皇家的；盛大的,adj.,royal (adj.),OK,,
royalty,皇族；王位；王權,n.,royalty (n.),OK,,
ruin,廢墟,n.,ruin (n.),OK,,
rule,規則；規定統,n.,rule (n.),OK,,
rumor,傳聞,n.,rumor (n.),OK,,
run,跑；競選跑；路,v.,run (v.),OK,,
rural,鄉村,adj.,rural (adj.),OK,,
rush,猛衝；倉促行事；衝，奔；催促匆忙；緊急報答；報償,n.,rush (n.),OK,,
sadden,使悲傷；使難過厲的,adj.,sadden (adj.),OK,,
sadly,悲哀地；傷心地,adv.,sadly (adv.),OK,,
sadness,悲哀；悲傷,n.,sadness (n.),OK,,
safe,平安的；無損的,adj.,safe (adj.),OK,,
safeguard,保護；防衛保護；防衛,n.,safeguard (n.),OK,,
safely,安全,adv.,safely (adv.),OK,,
safety,安全；安全；平安,n.,safety (n.),OK,,
salad,沙拉,n.,salad (n.),OK,,
salary,薪資；薪水,n.,salary (n.),OK,,
sale,賣；出售；拍賣,n.,sale (n.),OK,,
salesperson,售貨員,n.,salesperson (n.),OK,,
salt,粗鹽；食鹽,n.,salt (n.),OK,,
salvage,搶救；挽救救助；營救,n.,salvage (n.),OK,,
sample,樣品，樣本品嚐；體驗樣品的,adj.,sample (adj.),OK,,
sanitary,公共廁所,n.,sanitary (n.),OK,,
satisfy,使滿意；使高興；使～滿意；滿足,n.,satisfy (n.),OK,,
sausage,香腸,n.,sausage (n.),OK,,
save,拯救；節約,n.,save (n.),OK,,
savvy,懂；知曉,n.,savvy (n.),OK,,
scal,財政的；金融的,adj.,scal (adj.),OK,,
scale,大小；規模攀登；增加,n.,scale (n.),OK,,
scanner,掃描機,n.,scanner (n.),OK,,
scarce,缺乏,n.,scarce (n.),OK,,
scary,可怕,n.,scary (n.),OK,,
scatter,分散,n.,scatter (n.),OK,,
scene,布景；景色；背,n.,scene (n.),OK,,
scenery,景色；風景,n.,scenery (n.),OK,,
schedule,日程表；明細表；時間表安排；預定,v.,schedule (v.),OK,,
school,學校；課程,n.,school (n.),OK,,
science,科學；理化,n.,science (n.),OK,,
scoop,盛舀,n.,scoop (n.),OK,,
scope,顯微鏡；望遠鏡,n.,scope (n.),OK,,
scratch,抓；搔劃出,n.,scratch (n.),OK,,
screen,螢幕；掩蔽物,v.,screen (v.),OK,,
scrutinize,詳細檢查；,v.,scrutinize (v.),OK,,
sculpture,雕塑,n.,sculpture (n.),OK,,
seal,密封,adj.,seal (adj.),OK,,
seam,縫；縫合處,n.,seam (n.),OK,,
seamlessly,無縫地,adv.,seamlessly (adv.),OK,,
search,搜查；尋求；搜查；探究,n.,search (n.),OK,,
season,季節,n.,season (n.),OK,,
seat,座位,n.,seat (n.),OK,,
second,第二；秒,n.,second (n.),OK,,
secret,秘密,n.,secret (n.),OK,,
section,部分；區域,n.,section (n.),OK,,
secure,安全的，無危衛生的；清潔的,adj.,secure (adj.),OK,,
security,安全；安全感；防備；保安,n.,security (n.),OK,,
seek,尋找；探索；尋求,n.,seek (n.),OK,,
segment,部分；部門,n.,segment (n.),OK,,
seize,把握,v.,seize (v.),OK,,
seldom,不常；很少很少的；難得的,adj.,seldom (adj.),OK,,
select,選拔；精選；選擇；挑選上等的；優等的,adj.,select (adj.),OK,,
selection,選擇；選拔,n.,selection (n.),OK,,
selective,有選擇性的,adj.,selective (adj.),OK,,
self,自身；自己,n.,self (n.),OK,,
self-employed,自由業,phr.,self-employed (phr.),OK,,
semester,一學期；半學年；一,n.,semester (n.),OK,,
seminar,專題討論會,n.,seminar (n.),OK,,
senior,年長的；前輩；年長的；地位較高的,adj.,senior (adj.),OK,,
sense,感官；官能；見；感覺,n.,sense (n.),OK,,
sensible,明智的；合,adj.,sensible (adj.),OK,,
sensitive,敏感的；靈,adj.,sensitive (adj.),OK,,
separate,分隔；分割,v.,separate (v.),OK,,
separation,分開；分居,n.,separation (n.),OK,,
sequence,連續；接續,n.,sequence (n.),OK,,
series,系列；連續；系列,n.,series (n.),OK,,
serious,嚴重的；危急；嚴重的；認真的,adj.,serious (adj.),OK,,
serve,伺候；服役；服務,n.,serve (n.),OK,,
service,服務；服務；效勞,n.,service (n.),OK,,
session,會議；集會,n.,session (n.),OK,,
set,放；置；開始固定的；不變的一套；一部的；自僱的,adj.,set (adj.),OK,,
setback,挫折；失敗,n.,setback (n.),OK,,
setup,組織；機構,n.,setup (n.),OK,,
several,幾個的；數個學期的；數個；各自的,adj.,several (adj.),OK,,
severe,嚴重的；劇烈的的前輩；上司；學長幾點整裝運,adj.,severe (adj.),OK,,
severely,嚴重地；劇烈地識了解；領會,adv.,severely (adv.),OK,,
shampoo,洗髮乳,n.,shampoo (n.),OK,,
shape,形狀；形狀；樣子使成形；塑造情理的,adj.,shape (adj.),OK,,
share,共享；分攤；分享敏的,adj.,share (adj.),OK,,
shareholder,股東,n.,shareholder (n.),OK,,
sharp,尖銳的；苛刻的,adj.,sharp (adj.),OK,,
shave,刮鬍子,n.,shave (n.),OK,,
shelf,架子,n.,shelf (n.),OK,,
shelter,庇護,n.,shelter (n.),OK,,
shine,發光,n.,shine (n.),OK,,
shiny,閃亮,n.,shiny (n.),OK,,
ship,船；艦運送；,n.,ship (n.),OK,,
shipment,運輸；運送,n.,shipment (n.),OK,,
shipping,運輸；運輸業,v.,shipping (v.),OK,,
shirt,襯衫,n.,shirt (n.),OK,,
shocked,震驚,v.,shocked (v.),OK,,
shoe,鞋；馬蹄鐵,n.,shoe (n.),OK,,
short,短的；矮的,adj.,short (adj.),OK,,
shortage,缺少；缺少；不足服務；效勞,n.,shortage (n.),OK,,
should,可能；該,n.,should (n.),OK,,
show off,炫耀；賣弄,phr.,show off (phr.),OK,,
shower,淋浴；蓮蓬頭,n.,shower (n.),OK,,
shredder,碎紙機,n.,shredder (n.),OK,,
shuttle bus,接駁公車,phr.,shuttle bus (phr.),OK,,
sick,生病,n.,sick (n.),OK,,
sightseeing,觀光,v.,sightseeing (v.),OK,,
sign,徵象；前兆簽；標誌,n.,sign (n.),OK,,
sign up,簽約；報名,phr.,sign up (phr.),OK,,
signature style,招牌式,phr.,signature style (phr.),OK,,
significant,重大的；影響深遠的,adj.,significant (adj.),OK,,
signify,表示；預示,v.,signify (v.),OK,,
similar,相像的；相仿；類似,adj.,similar (adj.),OK,,
simple,樸素的；簡易的,adj.,simple (adj.),OK,,
simply,簡單地,adv.,simply (adv.),OK,,
simulate,假裝；冒充,v.,simulate (v.),OK,,
simulation,偽裝；模仿,n.,simulation (n.),OK,,
since,自從～以來,n.,since (n.),OK,,
sincere,衷心的；真誠,adj.,sincere (adj.),OK,,
sincerely,真誠地；誠；誠摯,adv.,sincerely (adv.),OK,,
sinful,罪孽深重的；有,adj.,sinful (adj.),OK,,
singer,歌手,n.,singer (n.),OK,,
single,單身,n.,single (n.),OK,,
sink,下沉；下陷水,n.,sink (n.),OK,,
sir,先生,n.,sir (n.),OK,,
site,地點；場所；現場,n.,site (n.),OK,,
situation,情況；狀況；處境,n.,situation (n.),OK,,
size,尺寸,v.,size (v.),OK,,
skeleton,骨架,n.,skeleton (n.),OK,,
sketch,素描,n.,sketch (n.),OK,,
ski,滑雪板；雪橇,n.,ski (n.),OK,,
skill,技巧；技術；技能,n.,skill (n.),OK,,
skillful,有技巧的,adj.,skillful (adj.),OK,,
skim,撇去；瀏覽；略,n.,skim (n.),OK,,
slash,減低；砍傷；抨擊砍傷；砍痕重要,n.,slash (n.),OK,,
slice,切片；薄片；切片切下；割去重要的,adj.,slice (adj.),OK,,
slightly,略有,adv.,slightly (adv.),OK,,
slip,滑動；滑跤失足；疏忽；錯誤,n.,slip (n.),OK,,
slippery,滑的；油滑的,adj.,slippery (adj.),OK,,
slogan,口號；標語,n.,slogan (n.),OK,,
slope,傾斜；坡度傾,n.,slope (n.),OK,,
sloppy,稀薄的；邋遢的的,adj.,sloppy (adj.),OK,,
slot,投幣口；自動販賣機懇地,adv.,slot (adv.),OK,,
slow,緩慢的,adj.,slow (adj.),OK,,
slump,倒下；陷落下降；不景氣罪的,adj.,slump (adj.),OK,,
smart,聰穎的,adj.,smart (adj.),OK,,
smile,微笑,n.,smile (n.),OK,,
smoothl,平滑地；流暢地槽,adv.,smoothl (adv.),OK,,
snack,零食,n.,snack (n.),OK,,
snap,快照,n.,snap (n.),OK,,
sneakers,運動鞋,n.,sneakers (n.),OK,,
soar,往上飛舞，升高飛；高聳,n.,soar (n.),OK,,
soccer,足球,n.,soccer (n.),OK,,
social,社會的,adj.,social (adj.),OK,,
socialize,傳達,v.,socialize (v.),OK,,
society,社會；交際,n.,society (n.),OK,,
soft drink,不含酒精的飲品,phr.,soft drink (phr.),OK,,
software,軟件；軟體,n.,software (n.),OK,,
sola,太陽的；日光的,adj.,sola (adj.),OK,,
solace,安慰；慰藉安慰,n.,solace (n.),OK,,
solely,單獨地；唯一,adv.,solely (adv.),OK,,
solicit,請求；懇求,n.,solicit (n.),OK,,
solid,固體,n.,solid (n.),OK,,
solve,解決；解決；解答,n.,solve (n.),OK,,
some,若干,n.,some (n.),OK,,
something,某事物,v.,something (v.),OK,,
somewhat,有些,n.,somewhat (n.),OK,,
soon,即刻,n.,soon (n.),OK,,
sophisticated,世故,v.,sophisticated (v.),OK,,
sort,挑選；區分種類；品種,n.,sort (n.),OK,,
soul,靈魂,n.,soul (n.),OK,,
sound,聲音；響聲聽起來,n.,sound (n.),OK,,
source,根源；來源隔開,n.,source (n.),OK,,
space,空間；宇宙；空間；處所,n.,space (n.),OK,,
span,礅距；跨度橫,n.,span (n.),OK,,
spark,火花,n.,spark (n.),OK,,
sparkle,火花,n.,sparkle (n.),OK,,
speak,交談；發言,v.,speak (v.),OK,,
special,特別的；特殊的,adj.,special (adj.),OK,,
specialize,專攻；專精於speciﬁ,v.,specialize (v.),Possible error,專攻；專精於ﬁ,English letters present in Chinese meaning
specialty,專業；專長,n.,specialty (n.),OK,,
specific,具體,adj.,specific (adj.),OK,,
specify,具體指定；詳細指明,v.,specify (v.),OK,,
speech,演說；言論；演講,n.,speech (n.),OK,,
speed,快速；迅速促進；加快,v.,speed (v.),OK,,
spell,拼寫,n.,spell (n.),OK,,
spelling,拼寫,v.,spelling (v.),OK,,
spend,花費；花費；浪費,v.,spend (v.),OK,,
spice up,調劑,phr.,spice up (phr.),OK,,
spiritual,精神,adj.,spiritual (adj.),OK,,
spiritually,精神上的,adj.,spiritually (adj.),OK,,
splash,噴濺,n.,splash (n.),OK,,
splendid,壯麗的；輝；燦爛,adj.,splendid (adj.),OK,,
sponsor,贊助商,n.,sponsor (n.),OK,,
sponsorship,資助；支,n.,sponsorship (n.),OK,,
sport,體育運動,n.,sport (n.),OK,,
spot,斑點；斑點；場所立即玷汙；汙辱,n.,spot (n.),OK,,
spray,噴霧；浪花噴灑,n.,spray (n.),OK,,
spread,伸展；傳播蔓延；流行；傳播,v.,spread (v.),OK,,
spring,春天；活力跳躍；提出,v.,spring (v.),OK,,
sprinkle,潑灑；灑；噴；淋稀疏小雨；少量跨；跨越,n.,sprinkle (n.),OK,,
spy,間諜；密探監視；偵察,n.,spy (n.),OK,,
square,正方形；廣場,n.,square (n.),OK,,
squeeze,擠壓,n.,squeeze (n.),OK,,
stability,穩定；穩定性,n.,stability (n.),OK,,
stable,馬；馬棚；畜舍,adj.,stable (adj.),OK,,
stack,一堆，一疊；乾正直的公正的草堆堆放,n.,stack (n.),OK,,
staff,工作人員；職員；工作人員,n.,staff (n.),OK,,
stage,舞臺；舞臺；階段籌劃；舉行,n.,stage (n.),OK,,
stair,階梯,n.,stair (n.),OK,,
staircase,樓梯,n.,staircase (n.),OK,,
stake,危險；股本資,n.,stake (n.),OK,,
stale,過時,n.,stale (n.),OK,,
stance,立場；態度,n.,stance (n.),OK,,
stand,站立；站著,v.,stand (v.),OK,,
standard,標準；水準標準的；一流的；水準；規格,adj.,standard (adj.),OK,,
standpoint,立場；觀,n.,standpoint (n.),OK,,
staple,主要產品主,n.,staple (n.),OK,,
start,開始,n.,start (n.),OK,,
starvation,飢餓,n.,starvation (n.),OK,,
state,州；狀況，形態；國陳述；聲明,v.,state (v.),OK,,
statement,聲明；陳述；說明,n.,statement (n.),OK,,
station,車站；駐地；庫存；貯存庫,adv.,station (adv.),OK,,
stationary,固定的；停,adj.,stationary (adj.),OK,,
stationery,文具；信；文具；信紙,n.,stationery (n.),OK,,
statistics,統計；統計資料,n.,statistics (n.),OK,,
status,地位；身分；狀態,n.,status (n.),OK,,
stay,停留,n.,stay (n.),OK,,
steadfast,堅定的；不粗壯的,adj.,steadfast (adj.),OK,,
steady,穩固的；平穩的使穩固；使穩定,adj.,steady (adj.),OK,,
steam,蒸汽；水蒸汽滯的,adj.,steam (adj.),OK,,
stem,起源於；攔住；阻擋莖，樹幹,n.,stem (n.),OK,,
stick,枝條；棒狀物黏貼；堅持；固守,n.,stick (n.),OK,,
stock,股票；進貨；庫存品；股票存的,adj.,stock (adj.),OK,,
storage,儲藏；保管；貯藏；保管,n.,storage (n.),OK,,
store,店舖；貯存貯存,n.,store (n.),OK,,
storm,暴風雨；爆發；激動,n.,storm (n.),OK,,
stormy,暴風雨的；暴躁的橫衝直撞；猛衝；起風暴身分,adj.,stormy (adj.),OK,,
storyline,故事；情節,n.,storyline (n.),OK,,
stout,頑強的；牢固的；,adj.,stout (adj.),OK,,
straight,筆直的；正直,adj.,straight (adj.),OK,,
straightforward,徑直的；簡單的坦率地；直截了當地動搖的,adj.,straightforward (adj.),OK,,
strange,不可思議的,adj.,strange (adj.),OK,,
stranger,陌生人,n.,stranger (n.),OK,,
strategy,戰略；策略；計謀,n.,strategy (n.),OK,,
straw,稻草；吸管,n.,straw (n.),OK,,
stream,小河；溪流流；流動,n.,stream (n.),OK,,
streamline,流線型的,adj.,streamline (adj.),OK,,
strength,力氣；實力；實力,n.,strength (n.),OK,,
strengthen,增強；改善；增強；鞏,v.,strengthen (v.),OK,,
stress,壓力；緊張；壓力；緊張；著,n.,stress (n.),OK,,
stretch,伸直；展開，曲解牛,n.,stretch (n.),OK,,
strict,嚴厲的,adj.,strict (adj.),OK,,
strike,打擊；攻擊罷；罷工,v.,strike (v.),OK,,
strive,力爭；苦幹；努力,adj.,strive (adj.),OK,,
strong,健壯的；結實的,adj.,strong (adj.),OK,,
structure,結構構造,n.,structure (n.),OK,,
struggle,鬥爭,n.,struggle (n.),OK,,
study,學習；研究學；讀書,n.,study (n.),OK,,
style,風格；作風；風格；款式,n.,style (n.),OK,,
subject,主題；學科；主題；題目易受…；易患…,n.,subject (n.),OK,,
subjectively,主觀地替物代替代替的分的,adj.,subjectively (adj.),OK,,
submission,屈服；聽從,n.,submission (n.),OK,,
submit,服從；提交,n.,submit (n.),OK,,
subordinate,次要的；,adj.,subordinate (adj.),OK,,
subscribe,訂閱；同意,n.,subscribe (n.),OK,,
subscription,訂閱；同,n.,subscription (n.),OK,,
subside,消退；平息；,n.,subside (n.),OK,,
subsidiary,輔助的；附帶的堅固的,adj.,subsidiary (adj.),OK,,
subsidize,補助；資助,v.,subsidize (v.),OK,,
subsidy,津貼；補貼,n.,subsidy (n.),OK,,
substantial,真實的；意強度,adj.,substantial (adj.),OK,,
