English,Chinese Meanings,pos,word_with_pos,check_status,suggested_zh,notes,ecdict_zh,ecdict_pos
section,部分；區域,n.,section (n.),OK,,,"n. 区段, 部分, 区域, 节, 截面, 处, 科, 区, 扇区\nvt. 把...分段, 把...切片\nvi. 被切成片\n[计] 扇区",
secure,安全的，無危衛生的；清潔的,adj.,secure (adj.),OK,,,"a. 无虑的, 安心的, 安全的, 可靠的, 保险的\nvt. 固定, 获得, 保证, 使安全, 掩护, 招致\nvi. 停止操作, 船抛锚",
security,安全；安全感；防備；保安,n.,security (n.),OK,,,"n. 安全, 安全性, 防护物, 保安, 可靠性, 担保人, 抵押品, 保证金\n[计] 安全性, 保密性, 安全检查程序",
seek,尋找；探索；尋求,n.,seek (n.),OK,,,"vt. 寻求, 寻找, 探索, 追求, 搜索, 请求\nvi. 寻找, 搜索\n[计] 查找",
segment,部分；部門,n.,segment (n.),OK,,,"n. 片段, 部分, 分节, 段\nv. 分割, 分裂\n[计] 段",
seize,把握,v.,seize (v.),OK,,,"vt. 抓住, 逮捕, 俘获, 没收, 扣押, 掌握\nvi. 突然抓住, 利用",
seldom,不常；很少很少的；難得的,adj.,seldom (adj.),OK,,,"a. 不常的, 稀少的\nadv. 很少, 不常",
select,選拔；精選；選擇；挑選上等的；優等的,adj.,select (adj.),OK,,,"a. 挑选出来的, 极好的\nv. 选择, 挑选\nn. 被挑选者, 精萃\n[计] 选定",
selection,選擇；選拔,n.,selection (n.),OK,,,"n. 选择, 选文, 精选品\n[医] 选择, 淘汰",
selective,有選擇性的,adj.,selective (adj.),OK,,,"a. 选择的, 选择性的\n[经] 选择的, 选择性的",
self,自身；自己,n.,self (n.),OK,,,"n. 自己, 自我, 本性, 本质, 私心, 本人\nvt. 使近亲繁殖, 使自花授精\nvi. 自花授精\na. 同一的",
self-employed,自由業,phr.,self-employed (phr.),OK,,,"a. 自己经营的, 不受雇于他人的, 非为雇主工作的, 不专为某一雇主工作的\n[经] 个体经营者, 自我雇佣者",
semester,一學期；半學年；一,n.,semester (n.),OK,,,n. 学期,
seminar,專題討論會,n.,seminar (n.),OK,,,"n. 研究班, 专题讨论会\n[经] 讨论会, 专家讨论会",
senior,年長的；前輩；年長的；地位較高的,adj.,senior (adj.),OK,,,"n. 年长者, 资深者, 毕业班学生\na. 年长的, 高级的, 资深的",
sense,感官；官能；見；感覺,n.,sense (n.),OK,,,"n. 感应, 感觉, 感官, 意识, 观念, 情理, 知觉, 理智\nvt. 感觉, 觉察, 检测\n[计] 阅读; 检测",
sensible,明智的；合,adj.,sensible (adj.),OK,,,"a. 有感觉的, 敏感的, 明智的\n[医] 可感觉的",
sensitive,敏感的；靈,adj.,sensitive (adj.),OK,,,"a. 敏感的, 易感的, 灵敏的, 感光的\n[机] 敏感的, 灵敏的, 感度高的",
separate,分隔；分割,v.,separate (v.),OK,,,"n. 独立件, 抽印本\na. 分开的, 各别的, 单独的, 分隔的\nvi. 分开, 隔开, 分居\nvt. 使分离, 使分开, 区分, 使分居",
separation,分開；分居,n.,separation (n.),OK,,,"n. 分离, 分居, 缺口, 退职\n[化] 分离",
sequence,連續；接續,n.,sequence (n.),OK,,,"n. 序列, 续发事件, 顺序, 连续\nvt. 按顺序排好\n[计] 顺序",
series,系列；連續；系列,n.,series (n.),OK,,,"n. 串联, 序列, 连续, 系列, 丛书, 套, 级数, 组\n[计] 系列",
serious,嚴重的；危急；嚴重的；認真的,adj.,serious (adj.),OK,,,"a. 严肃的, 认真的, 重要的, 严重的\n[电] 严重的",
serve,伺候；服役；服務,n.,serve (n.),OK,,,"vt. 可作...用, 服务, 经历, 招待, 供应, 送交, 对待\nvi. 服务, 服役, 侍应, 适合, 有用, 开球\nn. 发球, 轮到发球",
service,服務；服務；效勞,n.,service (n.),OK,,,"n. 服务, 贡献, 雇佣, 公职, 服役, 功劳, 仪式, 送达, 行政部门\nvt. 保养, 维修\na. 武装部队的, 服务性的, 仆人的, 耐用的\n[计] 服务, 业务",
session,會議；集會,n.,session (n.),OK,,,"n. 期间, 开庭期, 会议, 学期\n[计] 会话, 对话, 会晤, 通用任务程序",
set,放；置；開始固定的；不變的一套；一部的；自僱的,adj.,set (adj.),OK,,,"n. 日落, 同伙, 组合, 集合, 装置\nvt. 放, 安置, 放置, 设定, 使凝结, 点燃, 确定, 点缀, 使就位, 树立, 分配, 调整\nvi. 日落, 凝固, 定型, 搁住, 结果, 适合\na. 决心的, 规定的, 故意的, 持久的, 固定的, 老套的, 准备好的\n[计] 设置; DOS内部命令:改变或显示分配给环境变量的值",
setback,挫折；失敗,n.,setback (n.),OK,,,"n. 挫折, 退步, 逆流",
setup,組織；機構,n.,setup (n.),OK,,,"n. 装备, 组织, 计划, 机构, 调整, 设置\n[计] 设置",
several,幾個的；數個學期的；數個；各自的,adj.,several (adj.),OK,,,"a. 几个的, 一些的, 各自的\npron. 几个",
severe,嚴重的；劇烈的的前輩；上司；學長幾點整裝運,adj.,severe (adj.),OK,,,"a. 严格的, 尖锐的, 严肃的, 严重的, 严厉的, 朴素的\n[法] 严厉的, 苛刻的, 严重的",
severely,嚴重地；劇烈地識了解；領會,adv.,severely (adv.),OK,,,"adv. 严格, 尖锐, 严肃, 严重, 严厉, 朴素",
shampoo,洗髮乳,n.,shampoo (n.),OK,,,"n. 洗头, 洗发剂\nvt. 洗头, 洗发",
shape,形狀；形狀；樣子使成形；塑造情理的,adj.,shape (adj.),OK,,,"n. 形状, 形态, 外形, 形式, 身材\nvt. 定形, 使成形, 塑造, 计划, 使符合\nvi. 成形, 形成, 成长\n[计] 形状",
share,共享；分攤；分享敏的,adj.,share (adj.),OK,,,"n. 部分, 参与, 一份, 参股, 份额\nvt. 均分, 分担, 分享, 分配, 共有\nvi. 分享\n[计] 共享; DOS外部命令:在网络或多工系统中提供文件共享\n文件锁定及检测磁盘更动和对超过32MB硬盘分区的支持",
shareholder,股東,n.,shareholder (n.),OK,,,"n. 股东\n[法] 股东, 股票持有人",
sharp,尖銳的；苛刻的,adj.,sharp (adj.),OK,,,"n. 半升音调, 利刃, 骗子\na. 锋利的, 明显的, 敏锐的, 急剧的, 尖刻的, 严厉的, 刺耳的, 精明的\nadv. 锐利地, 急速地",
shave,刮鬍子,n.,shave (n.),OK,,,"n. 修面, 刮胡子, 幸免, 剃刀\nvt. 修面, 剃, 修剪, 掠过\nvi. 刮脸, 勉强通过",
shelf,架子,n.,shelf (n.),OK,,,"n. 架子, 搁板\n[化] 架子",
shelter,庇護,n.,shelter (n.),OK,,,"n. 庇护所, 避难所, 庇护, 隐蔽处, 掩蔽\nvt. 庇护, 保护, 隐匿\nvi. 躲避",
shine,發光,n.,shine (n.),OK,,,"n. 光泽, 阳光\nvt. 使发光\nvi. 照耀, 发光, 发亮",
shiny,閃亮,n.,shiny (n.),OK,,,"a. 有光泽的, 发光的, 辉煌的, 磨光的, 磨损的",
ship,船；艦運送；,n.,ship (n.),OK,,,"n. 船, 舰\nvt. 以船运送, 装船, 运送\nvi. 上船, 乘船",
shipment,運輸；運送,n.,shipment (n.),OK,,,"n. 装船, 出货\n[经] 运送, 运送(寄出)货物, 装载",
shipping,運輸；運輸業,v.,shipping (v.),OK,,,"n. 装运, 航行, 船舶, 船舶吨数\n[经] 装运, 运送, 海运",
shirt,襯衫,n.,shirt (n.),OK,,,"n. 衬衫, 内衣, 汗衫",
shocked,震驚,v.,shocked (v.),OK,,,a. 震撼的；震惊的,
shoe,鞋；馬蹄鐵,n.,shoe (n.),OK,,,"n. 鞋, 靴, 外胎\nvt. 给...穿鞋, 为马钉蹄铁",
short,短的；矮的,adj.,short (adj.),OK,,,"a. 短的, 近的, 矮的, 短期的, 简短的, 少量的\nadv. 简短地, 突然\nn. 扼要, 短片, 缺乏\nvt. 故意少给, 使短路",
shortage,缺少；缺少；不足服務；效勞,n.,shortage (n.),OK,,,"n. 不足, 缺乏\n[化] 缺额",
should,可能；該,n.,should (n.),OK,,,"aux. 应该, 将要",
show off,炫耀；賣弄,phr.,show off (phr.),OK,,,"炫耀, 卖弄, 使显眼",
shower,淋浴；蓮蓬頭,n.,shower (n.),OK,,,"n. 阵雨, 淋浴, 一阵, 展出者, 显示者\nvi. 淋浴, 下阵雨\nvt. 淋湿, 倾注",
shredder,碎紙機,n.,shredder (n.),OK,,,"n. 切菜器, 碎纸机",
shuttle bus,接駁公車,phr.,shuttle bus (phr.),OK,,,"区间公共汽车,区间车",
sick,生病,n.,sick (n.),OK,,,"n. 病人\na. 不舒服, 有病的, 恶心的, 厌恶的, 渴望的, 病态的\nvt. 呕吐, 追击, 使(狗)去攻击",
sightseeing,觀光,v.,sightseeing (v.),OK,,,"n. 观光, 游览\na. 观光的, 游览的",
sign,徵象；前兆簽；標誌,n.,sign (n.),OK,,,"n. 符号, 招牌, 征兆, 正负号, 手势\nvt. 签名, 打手势表达\nvi. 签名\n[计] 正负号; 符号; 符号字符",
sign up,簽約；報名,phr.,sign up (phr.),OK,,,"签约参加工作, 签约雇用",
signature style,招牌式,phr.,signature style (phr.),OK,,,,
significant,重大的；影響深遠的,adj.,significant (adj.),OK,,,"a. 重要的, 有效的, 有含义的, 暗示的, 值得注意的",
signify,表示；預示,v.,signify (v.),OK,,,"vt. 象征, 预示\nvi. 要紧, 重要",
similar,相像的；相仿；類似,adj.,similar (adj.),OK,,,"a. 相似的, 类似的\nn. 相似的东西",
simple,樸素的；簡易的,adj.,simple (adj.),OK,,,"a. 简单的, 普通的, 朴素的, 单纯的, 绝对的, 初级的, 原始的, 迟钝的\nn. 出身低微者, 傻子",
simply,簡單地,adv.,simply (adv.),OK,,,"adv. 简单地, 只是, 简直, 简朴地, 坦白地",
simulate,假裝；冒充,v.,simulate (v.),OK,,,"vt. 模拟, 假装, 模仿\n[法] 伪装的, 模拟的; 假装的, 伪装的, 冒充",
simulation,偽裝；模仿,n.,simulation (n.),OK,,,"n. 模拟, 假冒物, 模仿\n[计] 模拟",
since,自從～以來,n.,since (n.),OK,,,"prep. 自...以后, 自...以来\nadv. 自那时以后\nconj. 既然, 自...以后, 自...以来",
sincere,衷心的；真誠,adj.,sincere (adj.),OK,,,"a. 诚实的, 正直的, 真挚的, 纯净的",
sincerely,真誠地；誠；誠摯,adv.,sincerely (adv.),OK,,,adv. 真诚地,
sinful,罪孽深重的；有,adj.,sinful (adj.),OK,,,"a. 有罪的, 罪孽深重的\n[法] 有罪, 充满罪恶的",
singer,歌手,n.,singer (n.),OK,,,n. 歌手,
single,單身,n.,single (n.),OK,,,"a. 单身的, 单程的, 单一的, 个别的, 孤独的, 专一的\nn. 一个, 单打, 单程票\nvt. 选出\nvi. 击出一垒打\n[计] 单精度型",
sink,下沉；下陷水,n.,sink (n.),OK,,,"n. 藏垢的场所, 沟渠, 污水槽\nvi. 下沉, 沉没, 下陷, 减弱, 衰退, 消沉, 堕落, 渗透\nvt. 使低落, 使下沉, 陷于, 投入(资金等), 挖掘",
sir,先生,n.,sir (n.),OK,,,"n. 先生, 阁下",
site,地點；場所；現場,n.,site (n.),OK,,,"n. 位置, 场所, 地点\nvt. 给...择址",
situation,情況；狀況；處境,n.,situation (n.),OK,,,"n. 情形, 境遇, 位置\n[医] 情境, 处境",
size,尺寸,v.,size (v.),OK,,,"n. 大小, 尺寸, 规模, 尺码, 能力, 浆料\nvt. 上浆, 依大小排列\nvi. 可比拟\na. 一定大小的, 一定尺寸的",
skeleton,骨架,n.,skeleton (n.),OK,,,"n. 骨骼, 骨瘦如柴的人, 梗概, 骨干, 残骸\na. 骨骼的, 概略的, 基层的, 骨干的\n[计] 骨架",
sketch,素描,n.,sketch (n.),OK,,,"n. 素描, 草图, 小品\nv. 描绘略图, 画素描或速写",
ski,滑雪板；雪橇,n.,ski (n.),OK,,,n. 滑雪橇\nvi. 滑雪,
skill,技巧；技術；技能,n.,skill (n.),OK,,,"n. 技术, 技巧, 技能, 熟练, 熟练工人\n[化] 技能",
skillful,有技巧的,adj.,skillful (adj.),OK,,,"a. 熟练的, 巧妙的\n[机] 熟练的",
skim,撇去；瀏覽；略,n.,skim (n.),OK,,,"vt. 撇取浮沫, 略读, 掠过\nvi. 擦过, 浏览\nn. 脱脂乳, 擦过, 表层物\na. 撇去浮沫的",
slash,減低；砍傷；抨擊砍傷；砍痕重要,n.,slash (n.),OK,,,"v. 猛砍, 乱砍\nn. 猛砍, 乱砍, 删减\n[计] 斜线",
slice,切片；薄片；切片切下；割去重要的,adj.,slice (adj.),OK,,,"n. 薄的切片, 一部分, 菜刀\nvt. 切成薄片, 切下\nvi. 切\n[计] 片",
slightly,略有,adv.,slightly (adv.),OK,,,"adv. 些微地, 苗条地",
slip,滑動；滑跤失足；疏忽；錯誤,n.,slip (n.),OK,,,"n. 滑, 滑行, 事故, 溜, 差错, 滑台, 下降, 插条, 后裔, 板条, 瘦长的年轻人\nvi. 滑动, 滑倒, 失足, 溜走, 滑落, 犯错, 变坏\nvt. 使滑动, 滑过, 摆脱, 闪开, 塞入, 从...取接枝\na. 滑动的, 滑移的, 活络的, 有活结的\n[计] 串行线接口协议",
slippery,滑的；油滑的,adj.,slippery (adj.),OK,,,"a. 滑的, 光滑的, 靠不住的, 圆滑的, 不稳固的\n[法] 狡猾的, 不可靠的, 不安定的",
slogan,口號；標語,n.,slogan (n.),OK,,,"n. 呐喊声, 标语, 口号",
slope,傾斜；坡度傾,n.,slope (n.),OK,,,"n. 倾斜, 斜坡, 斜率, 扛枪姿势\nvt. 使倾斜, 弄斜, 扛\nvi. 倾斜, 走, 逃走",
sloppy,稀薄的；邋遢的的,adj.,sloppy (adj.),OK,,,"a. 泥泞的, 潮湿的, 粗心的",
slot,投幣口；自動販賣機懇地,adv.,slot (adv.),OK,,,"n. 水沟, 细长孔, 硬币投币口, 缝, 狭槽, 狭通道, 位置, 一档(广播节目等)\nvt. 开槽于, 把...纳入机构\n[计] 槽; 存储槽",
slow,緩慢的,adj.,slow (adj.),OK,,,"a. 慢的, 缓慢的, 迟缓的, 迟钝的, 冷漠的, 落后的\nadv. 慢地, 迟缓地\nv. (使)慢下来",
slump,倒下；陷落下降；不景氣罪的,adj.,slump (adj.),OK,,,"n. 暴跌, 垂头弯腰的姿态\nvi. 猛然掉落, 陷入, 衰落(经济等)",
smart,聰穎的,adj.,smart (adj.),OK,,,"a. 聪明的, 漂亮的, 刺痛的, 剧烈的, 敏捷的, 巧妙的, 伶俐的, 潇洒的\nn. 刺痛, 痛苦\nvi. 刺痛",
smile,微笑,n.,smile (n.),OK,,,"n. 微笑, 喜色, 笑容\nvi. 微笑, 觉得好笑\nvt. 微笑着表示",
smoothl,平滑地；流暢地槽,adv.,smoothl (adv.),OK,,,,
snack,零食,n.,snack (n.),OK,,,"n. 小吃, 点心, 快餐\nvi. 吃零食, 吃快餐",
snap,快照,n.,snap (n.),OK,,,"vt. 使突然中断, 猛咬, 争夺, 拉断, 使有啪啪声, 厉声说, 突然射击, 用快照拍摄\nvi. 咬, 扑, 抓, 折断, 劈啪地响, 厉声说, 砰然关上\nn. 猛咬, 猛扑, 劈啪声, 申斥, 快照, 活力, 一般时期的寒冷天气, 揿钮\na. 突然的, 装搭扣的\nadv. 猛地\n[计] 子网访问协议",
sneakers,運動鞋,n.,sneakers (n.),OK,,,n. 胶底运动鞋（sneaker的复数形式）,
soar,往上飛舞，升高飛；高聳,n.,soar (n.),OK,,,"n. 高扬, 翱翔\nvi. 往上飞舞, 高耸, 翱翔",
soccer,足球,n.,soccer (n.),OK,,,n. 英式足球,
social,社會的,adj.,social (adj.),OK,,,"a. 社会的, 群居的, 社交的\nn. 联欢会",
socialize,傳達,v.,socialize (v.),OK,,,"vt. 使社会化, 使社会主义化, 使适合社会需要\nvi. (美)(非正式)参加社交活动, 发生社交往来",
society,社會；交際,n.,society (n.),OK,,,n. 社会；社交界；交往；社团,
soft drink,不含酒精的飲品,phr.,soft drink (phr.),OK,,,n. 不含酒精的饮料,
software,軟件；軟體,n.,software (n.),OK,,,n. 软件\n[计] 软设备,
sola,太陽的；日光的,adj.,sola (adj.),OK,,,[经] 单张汇票,
solace,安慰；慰藉安慰,n.,solace (n.),OK,,,"n. 安慰, 安慰之物\nvt. 安慰, 抚慰, 给与安慰, 使轻松",
solely,單獨地；唯一,adv.,solely (adv.),OK,,,"adv. 仅仅, 单独地",
solicit,請求；懇求,n.,solicit (n.),OK,,,"v. 请求, 乞求, 招揽, 征求",
solid,固體,n.,solid (n.),OK,,,"n. 固体\na. 坚硬的, 稳固的, 固体的, 实心的, 纯质的, 立体的, 立方的\n[计] 原色",
solve,解決；解決；解答,n.,solve (n.),OK,,,"vt. 解决, 付给, 溶解\nvt. 求解\nvi. 求解\n[计] 求解",
some,若干,n.,some (n.),OK,,,"pron. 一些, 一部分, 若干\nadv. 大约\na. 一些的, 少许的, 某一的",
something,某事物,v.,something (v.),OK,,,"pron. 某事, 某物",
somewhat,有些,n.,somewhat (n.),OK,,,"n. 某物, 几分\nadv. 多少, 几分",
soon,即刻,n.,soon (n.),OK,,,"adv. 不久, 早, 快, 宁可",
sophisticated,世故,v.,sophisticated (v.),OK,,,"a. 复杂的, 久经世故的\n[法] 尖端的, 高级的, 非常有经验的",
sort,挑選；區分種類；品種,n.,sort (n.),OK,,,"n. 种类, 方式, 品质, 态度, 举止\nvt. 分类, 排序, 挑选\nvi. 交往, 协调\n[计] 排序; DOS外部命令:从标准输入设备接收数据, 整个数据输入完后\n对它以行为单位进行排序, 然后在标准输出设备上输出",
soul,靈魂,n.,soul (n.),OK,,,"n. 灵魂, 心灵, 精神, 精髓, 人, 化身, 典型, 鬼魂\na. 黑人的",
sound,聲音；響聲聽起來,n.,sound (n.),OK,,,"n. 声音, 语音, 吵闹, 声调, 听力范围, 探条, 海峡\na. 健全的, 可靠的, 合理的, 健康的, 彻底的, 资金充实的\nadv. 彻底地, 充分地\nvi. 发出声音, 回响, 测深, 试探, 听起来\nvt. 使发声, 宣告, 听诊, 测...深, 试探\n[计] 声音",
source,根源；來源隔開,n.,source (n.),OK,,,"n. 来源, 水源, 根源, 原始资料, 源\n[计] 来源, 源程序",
space,空間；宇宙；空間；處所,n.,space (n.),OK,,,"n. 位置, 空间, 距离, 太空, 空白, 间隔, (期刊等的)篇幅\nvt. 隔开, 分隔\nvi. 留间隔\n[计] 空白, 空格校验",
span,礅距；跨度橫,n.,span (n.),OK,,,"n. 指距, 全长, 跨距, 一段时间, 小范围\nvt. 以手指测量, 跨越, 架设, 持续",
spark,火花,n.,spark (n.),OK,,,"n. 火花, 火星, 闪光, 无线电报务员, 瞬间放电, 活力, 朝气, 花花公子, 情郎\nvi. 闪光, 发火花, 求婚\nvt. 发动, 鼓舞, 使有朝气, 求婚",
sparkle,火花,n.,sparkle (n.),OK,,,"n. 闪耀, 火花, 活力, 发泡\nvi. 闪耀, 冒火花\nvt. 使闪耀",
speak,交談；發言,v.,speak (v.),OK,,,"vi. 说, 说话, 演说, 发言\nvt. 说, 讲, 说出",
special,特別的；特殊的,adj.,special (adj.),OK,,,"n. 专辑, 专车, 号外, 特别的东西, 负有特别任务的人员\na. 特别的, 专门的, 特殊的, 额外的, 附加的, 特别亲密的",
specialize,專攻；專精於speciﬁ,v.,specialize (v.),Possible error,專攻；專精於ﬁ,English letters present in Chinese meaning,"vt. 使特殊化, 列举, 特别指明, 限定...的范围\nvi. 成为专家, 专攻",
specialty,專業；專長,n.,specialty (n.),OK,,,"n. 专业, 专长, 特产, 特制品, 特性, 特点\na. 专门的, 独立的",
specific,具體,adj.,specific (adj.),OK,,,"n. 特效药, 特性\na. 特殊的, 明确的, 具有特效的, 特定地, 具体地",
specify,具體指定；詳細指明,v.,specify (v.),OK,,,"vt. 详列, 指定, 说明\n[计] 指定",
speech,演說；言論；演講,n.,speech (n.),OK,,,"n. 演讲, 说话, 谈话, 言语, 引语, 民族语言\n[医] 言语, 语言",
speed,快速；迅速促進；加快,v.,speed (v.),OK,,,"n. 速率, 速度, 迅速\nvi. 加速, 超速, 快进\nvt. 快速传送, 促进, 使加速\n[计] 中央处理机速度设置程序",
spell,拼寫,n.,spell (n.),OK,,,"n. 符咒, 魅力, 轮值, 轮班, 工作时间, 一次发作\nvt. 拼写, 拼成, 琢磨, 理解, 招致, 轮换, 迷住\nvi. 轮换, 拼字",
spelling,拼寫,v.,spelling (v.),OK,,,"n. 拼, 拼字, 拼法\n[计] 拼写检查",
spend,花費；花費；浪費,v.,spend (v.),OK,,,"vt. 花费, 浪费, 度过, 消耗, 消磨\nvi. 花费, 用尽",
spice up,調劑,phr.,spice up (phr.),OK,,,"增添情趣, 增添趣味",
spiritual,精神,adj.,spiritual (adj.),OK,,,"a. 精神上的, 神圣的, 崇高的, 高尚的, 鬼的, 招魂术的\nn. 有关教会的事",
spiritually,精神上的,adj.,spiritually (adj.),OK,,,adv. 在精神上地,
splash,噴濺,n.,splash (n.),OK,,,"n. 飞溅, 污点, 一点儿, 溅泼声, 色斑\nvi. 溅湿, 溅开, 飞溅\nvt. 溅, 泼, 使溅起水, 洒, 使成斑驳状",
splendid,壯麗的；輝；燦爛,adj.,splendid (adj.),OK,,,"a. 光亮的, 了不起的, 灿烂的, 壮丽的, 显著的, 杰出的",
sponsor,贊助商,n.,sponsor (n.),OK,,,"n. 保证人, 赞助者, 发起者, 倡议者, 教父\nvt. 发起, 赞助, 倡议",
sponsorship,資助；支,n.,sponsorship (n.),OK,,,"n. 发起, 倡议, 主办, 保证人的地位, 教父的地位, 教母的地位",
sport,體育運動,n.,sport (n.),OK,,,"n. 运动, 游戏, 娱乐, 消遣, 玩笑\na. 运动的, 户外穿戴的\nvi. 游戏, 参加体育运动, 戏弄, 产生变种\nvt. 炫耀, 使产生变种",
spot,斑點；斑點；場所立即玷汙；汙辱,n.,spot (n.),OK,,,"n. 污点, 地点, 斑点, 点, 娱乐场所, 处境, 少量\na. 当场的, 现场的, 现货买卖的, 现金交易的, 抽样的\nvt. 点缀, 玷污, 认出, 准确定...的位, 用灯光照射\nvi. 玷污, (从空中)侦察敌方目标",
spray,噴霧；浪花噴灑,n.,spray (n.),OK,,,"n. 水沫, 浪花, 水花, 喷雾, 喷雾器, 小树枝\nvt. 喷雾, 扫射, 喷射\nvi. 喷, 溅开",
spread,伸展；傳播蔓延；流行；傳播,v.,spread (v.),OK,,,"n. 传播, 散布, 伸展\na. 双唇展开的, 伸展的\nvt. 展开, 铺开, 传播, 推广, 伸出, 涂, 敷, 延伸\nvi. 展开, 扩大, 传开, 延伸\n[计] 展开",
spring,春天；活力跳躍；提出,v.,spring (v.),OK,,,"n. 春天, 弹簧, 跳跃, 弹性, 活力, 泉, 源泉\na. 春天的\nvi. 跳, 弹跳, 涌出, 生长, 裂开, 高耸\nvt. 使跳起, 使爆炸, 突然提出",
sprinkle,潑灑；灑；噴；淋稀疏小雨；少量跨；跨越,n.,sprinkle (n.),OK,,,"vt. 洒, 散置, 撒, 点缀\nvi. 洒, 撒, 下小雨\nn. 洒, 撒, 散置, 小雨, 少量",
spy,間諜；密探監視；偵察,n.,spy (n.),OK,,,"n. 间谍, 侦探, 侦察\nvt. 侦察, 找出, 发现\nvi. 做密探, 侦查",
square,正方形；廣場,n.,square (n.),OK,,,"n. 正方形, 街区, 广场, 平方, 直角尺\na. 正方形的, 正直的, 公正的, 平方的, 方正的, 结清的\nadv. 成直角地, 对准地\nvi. 一致, 符合, 结清\nvt. 使成方形, 使平方自乘, 调正, 结清, 使一致",
squeeze,擠壓,n.,squeeze (n.),OK,,,"n. 紧握, 挤, 榨, 榨取, 佣金\nvt. 紧握, 挤, 榨取\nvi. 压榨, 榨",
stability,穩定；穩定性,n.,stability (n.),OK,,,"n. 安定, 稳定性, 坚实, 巩固\n[化] 稳定性",
stable,馬；馬棚；畜舍,adj.,stable (adj.),OK,,,"n. 马房, 牛棚\na. 稳定的, 安定的, 坚固的, 坚定的\nvt. 赶入马房\nvi. 被关在马厩",
stack,一堆，一疊；乾正直的公正的草堆堆放,n.,stack (n.),OK,,,"n. 堆叠, 堆, 大量, 书库, 枪架, 烟囱, 堆积, 存贮栈\nvt. 堆积, 堆满, 暗中对...做手脚\nvi. 堆起\n[计] 堆积, 堆栈",
staff,工作人員；職員；工作人員,n.,staff (n.),OK,,,"n. 全体人员, 工作班子, 棍棒, 杆, 拐杖, 支柱, 权杖\na. 职员的, 雇员的, 参谋的\nvt. 为...配备人员",
stage,舞臺；舞臺；階段籌劃；舉行,n.,stage (n.),OK,,,"n. 阶段, 舞台, 场所, 戏剧, 站, 驿站, 级, 层, 脚手架\nvt. 上演, 表演, 筹划\nvi. 适于上演, 乘驿车旅行",
stair,階梯,n.,stair (n.),OK,,,"n. 梯级, 楼梯, 阶梯",
staircase,樓梯,n.,staircase (n.),OK,,,"n. 楼梯, 梯子, 楼梯部分\n[医] 阶梯现象",
stake,危險；股本資,n.,stake (n.),OK,,,"n. 桩, 炮烙刑, 木柱, 赌注, 奖金\nvt. 打桩, 用桩撑, 下赌注, 资助\nvi. 打赌",
stale,過時,n.,stale (n.),OK,,,"n. 尿\na. 不新鲜的, 陈腐的, 疲惫的, 陈旧的\nvt. 使变旧, 走味\nvi. 变陈旧, 走味, 失时效, 撒尿",
stance,立場；態度,n.,stance (n.),OK,,,"n. 准备击球姿势, 站立的姿势, 位置, 姿态\n[经] 地位, 形势",
stand,站立；站著,v.,stand (v.),OK,,,"n. 站立, 站住, 停顿, 讲台, 看台, 立场, 法院证人席\nvi. 站, 立, 坐落, 停滞, 位于, 坚持, 维持原状\nvt. 忍受, 使站立, 抵挡",
standard,標準；水準標準的；一流的；水準；規格,adj.,standard (adj.),OK,,,"n. 标准, 规格, 旗, 军旗, 本位\na. 标准的, 合规格的\n[计] 标准",
standpoint,立場；觀,n.,standpoint (n.),OK,,,"n. 立场, 观点",
staple,主要產品主,n.,staple (n.),OK,,,"n. 主要产物, 常用品, 主要要素, 原料, 订书钉, 钩环\na. 主要的, 重要的\nvt. 分级, 钉住",
start,開始,n.,start (n.),OK,,,"n. 惊起, 出发, 开端, 起点, 吃惊, 有利条件\nvi. 开始, 出发, 启动, 跳起, 吃惊, 出现, 松动, 脱落, 起价, 参赛\nvt. 使惊起, 开动, 发动, 启动, 开始, 创办, 提议, 使松动, 使脱落, 起用\n[计] 起始",
starvation,飢餓,n.,starvation (n.),OK,,,"n. 饥饿, 饿死\n[医] 绝食, 饥锇(指长时期的)",
state,州；狀況，形態；國陳述；聲明,v.,state (v.),OK,,,"n. 州, 状态, 情形, 国家, 政府, 领土, 国务, 社会地位\na. 国家的, 正式的, 礼仪用的, 州的\nvt. 说明, 陈述, 规定\n[计] 状态",
statement,聲明；陳述；說明,n.,statement (n.),OK,,,"n. 陈述, 指令, 声明\n[计] 程序语句; 语句",
station,車站；駐地；庫存；貯存庫,adv.,station (adv.),OK,,,"n. 车站, 站, 局, 驻地, 位置, 身分, 地位\nvt. 安置, 配置, 驻扎\n[计] 站",
stationary,固定的；停,adj.,stationary (adj.),OK,,,"a. 不动的, 静止的, 不变的, 固定的, 停留的\n[计] 定常, 定态, 固定的",
stationery,文具；信；文具；信紙,n.,stationery (n.),OK,,,"n. 文具, 信纸\n[法] 文具",
statistics,統計；統計資料,n.,statistics (n.),OK,,,"n. 统计学, 统计资料\n[计] 统计信息",
status,地位；身分；狀態,n.,status (n.),OK,,,"n. 状态, 情形, 地位, 要人身份\n[计] 状态",
stay,停留,n.,stay (n.),OK,,,"n. 停留, 逗留, 制止, 延缓, 停止, 支柱, 支撑物, 支索\nvt. 制止, 延缓, 坚持, 支持, 支撑, 用支索固定\nvi. 停留, 逗留, 暂停, 坚持, 中止",
steadfast,堅定的；不粗壯的,adj.,steadfast (adj.),OK,,,"a. 坚定的, 踏实的, 固定的, 不变的",
